listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,4.5,1,1,1170
Entire home/apt,4.5,1,1,1260
Entire home/apt,5,0,1,1250
Private room,4.5,1,1,350
Private room,5,0,1,350
Entire home/apt,5,2,1,1000
Entire home/apt,5,2,1,990
Entire home/apt,,2,1,1990
Private room,5,1,1,490
Private room,5,1,1.5,540
Entire home/apt,5,0,1,600
Entire home/apt,,1,1,990
Entire home/apt,5,4,2.5,1150
Entire home/apt,5,2,1,840
Private room,,1,1,1700
Entire home/apt,5,2,1,1350
Private room,5,0,1,490
Private room,4.5,0,1,350
Private room,4.5,1,1,350
Private room,4.5,0,1,350
Entire home/apt,4.5,2,2.5,2500
Entire home/apt,5,0,1,700
Entire home/apt,5,1,1,1190
Private room,5,0,1,490
Entire home/apt,5,1,1,990
Entire home/apt,5,1,1,780
Entire home/apt,5,1,1,990
Entire home/apt,5,1,1,1050
Entire home/apt,5,1,1,2090
Entire home/apt,5,0,1,1490
Private room,5,1,1,490
Private room,5,0,1,590
Entire home/apt,4.5,3,3,4990
Private room,5,2,1,690
Entire home/apt,5,2,2,1580
Entire home/apt,5,1,1,690
Entire home/apt,5,1,1,690
Private room,5,2,1,550
Entire home/apt,5,1,1,490
Entire home/apt,5,1,1,780
Entire home/apt,4,2,1,870
Private room,5,1,1,1250
Entire home/apt,5,1,2,3570
Entire home/apt,5,1,1,760
Private room,4.5,1,1,450
Entire home/apt,4.5,3,2,1190
Private room,5,1,1,1600
Entire home/apt,5,1,1,480
Entire home/apt,4.5,0,1,690
Entire home/apt,5,1,1,1050
Private room,5,1,1,690
Entire home/apt,5,4,2,1900
Private room,,1,0.5,1030
Private room,4.5,1,1,2000
Entire home/apt,5,2,1,940
Entire home/apt,5,2,1,750
Entire home/apt,5,1,1,950
Entire home/apt,4.5,1,1,650
Entire home/apt,5,1,1,3000
Private room,5,1,2,340
Entire home/apt,5,1,1,700
Entire home/apt,5,3,3,1230
Entire home/apt,5,2,1,870
Entire home/apt,,2,2,1100
Private room,4.5,1,1,490
Private room,5,1,1,800
Entire home/apt,5,3,1.5,1600
Private room,4.5,1,1,350
Private room,4.5,1,1,590
Entire home/apt,4.5,1,1,1400
Entire home/apt,,2,1,2000
Entire home/apt,5,2,1,1000
Private room,5,3,2,3450
Entire home/apt,4.5,1,1,800
Entire home/apt,4,1,1,1300
Entire home/apt,5,2,1,880
Entire home/apt,4.5,1,1,850
Entire home/apt,5,2,1,1390
Entire home/apt,5,1,1,1250
Entire home/apt,5,0,1,650
Entire home/apt,5,1,1,590
Private room,4.5,1,1,850
Entire home/apt,5,2,2,1350
Entire home/apt,4.5,1,1,430
Entire home/apt,5,3,1.5,750
Entire home/apt,5,2,1,1050
Private room,,1,1,1000
Entire home/apt,5,2,1,1750
Entire home/apt,5,2,2,1340
Entire home/apt,5,0,1,890
Entire home/apt,4.5,2,1,1100
Entire home/apt,5,1,1,1050
Entire home/apt,4.5,1,1,1330
Private room,5,1,1,430
Entire home/apt,5,3,2,1200
Private room,,3,2.5,1200
Private room,4.5,1,1,700
Entire home/apt,4.5,4,2,1500
Private room,4.5,1,1,380
Entire home/apt,5,0,1,870
Entire home/apt,,3,1.5,1000
Entire home/apt,5,1,2,1890
Entire home/apt,5,3,2,2990
Entire home/apt,5,0,1,1250
Private room,4.5,1,1,400
Entire home/apt,4.5,4,1,3800
Private room,5,1,1,390
Entire home/apt,5,2,1.5,990
Entire home/apt,5,0,1,450
Entire home/apt,5,1,1,750
Private room,4.5,1,1.5,800
Entire home/apt,5,1,1,2000
Private room,5,1,1,390
Private room,4.5,1,1,700
Entire home/apt,5,1,1,640
Entire home/apt,5,3,2,2500
Entire home/apt,4.5,1,1,980
Entire home/apt,4.5,1,1,710
Entire home/apt,4.5,1,1,990
Entire home/apt,5,2,1.5,850
Private room,,1,1,450
Entire home/apt,5,1,1,880
Entire home/apt,4.5,2,1,1990
Entire home/apt,5,1,1,1000
Entire home/apt,5,1,1,1000
Private room,5,1,1,450
Entire home/apt,4.5,1,1,670
Entire home/apt,5,3,2.5,1170
Private room,5,1,1,490
Entire home/apt,5,0,1,800
Entire home/apt,5,4,2,3000
Private room,5,1,1,700
Private room,5,1,1,850
Entire home/apt,5,0,1,1850
Private room,5,1,1,1000
Entire home/apt,5,0,1,650
Entire home/apt,4.5,0,1,950
Entire home/apt,4.5,0,1,790
Entire home/apt,5,1,1,2250
Private room,4.5,0,1,590
Private room,4.5,1,1,490
Entire home/apt,5,5,2,1950
Entire home/apt,5,1,1,800
Entire home/apt,5,1,1,1100
Private room,5,1,1,580
Entire home/apt,5,2,1,1000
Entire home/apt,,2,1,1450
Entire home/apt,5,2,1,2250
Private room,5,1,1,500
Entire home/apt,5,0,1,1350
Entire home/apt,4.5,1,1,1200
Private room,4.5,0,1,350
Private room,4.5,0,1,590
Private room,,1,1.5,750
Entire home/apt,4.5,1,1,940
Private room,5,1,1.5,1300
Private room,5,1,1.5,1000
Entire home/apt,5,1,1,740
Entire home/apt,4.5,2,1,790
Entire home/apt,5,2,1,990
Private room,,2,2,550
Private room,4.5,2,1,500
Entire home/apt,5,2,1.5,1490
Private room,4.5,1,1,500
Entire home/apt,5,1,1,1400
Private room,5,1,1,550
Entire home/apt,5,1,1,1250
Entire home/apt,5,0,1,640
Entire home/apt,4.5,0,1,750
Entire home/apt,5,1,1,320
Private room,5,1,1,550
Private room,5,1,1,580
Entire home/apt,5,3,2.5,2650
Entire home/apt,5,1,1,940
Entire home/apt,5,1,0,290
Entire home/apt,5,1,1,990
Entire home/apt,4.5,2,1.5,2290
Private room,5,1,1,620
Entire home/apt,5,1,1,350
Private room,4.5,1,1,700
Private room,5,1,1,270
Entire home/apt,4.5,1,1,880
Entire home/apt,5,1,1,950
Private room,5,1,1,730
Entire home/apt,5,1,1,1370
Entire home/apt,4.5,4,2,1280
Shared room,4.5,1,1,650
Shared room,,1,1,650
Shared room,,1,1,650
Shared room,,1,1,650
Shared room,,1,1,650
Shared room,4.5,1,1,650
Entire home/apt,5,1,1,650
Private room,5,1,1,350
Entire home/apt,5,2,1,1250
Entire home/apt,5,3,3.5,1440
Private room,5,1,1,700
Private room,5,1,1,470
Entire home/apt,5,2,2,1290
Entire home/apt,5,1,1,1250
Entire home/apt,,2,2,890
Private room,4.5,1,1,320
Entire home/apt,4.5,1,1,520
Entire home/apt,5,3,2,1900
Entire home/apt,5,0,1,990
Entire home/apt,5,1,1,950
Entire home/apt,4.5,1,1,540
Entire home/apt,3.5,1,1,800
Entire home/apt,5,0,1,620
Entire home/apt,5,2,1,650
Entire home/apt,5,3,2,1590
Entire home/apt,4.5,1,1,980
Entire home/apt,4.5,0,1,210
Private room,4.5,1,1,490
Entire home/apt,4.5,0,1,2190
Entire home/apt,4.5,1,1,800
Private room,5,1,1,680
Entire home/apt,,1,1,800
Entire home/apt,4.5,0,1,860
Entire home/apt,5,1,1,870
Entire home/apt,5,1,1,940
Entire home/apt,4.5,2,1,1910
Entire home/apt,4.5,2,1,1330
Entire home/apt,,1,1,1020
Entire home/apt,4.5,1,1,800
Entire home/apt,4.5,1,1,800
Entire home/apt,4.5,1,1,800
Entire home/apt,4.5,1,1,910
Entire home/apt,4.5,1,1,800
Entire home/apt,5,1,1,1370
Entire home/apt,4.5,0,1,800
Entire home/apt,5,1,1,1120
Entire home/apt,4.5,1,1,800
Private room,4.5,1,2,280
Private room,4.5,1,2,250
Private room,4.5,1,2,280
Entire home/apt,5,3,3.5,1010
Entire home/apt,4.5,1,1,800
Entire home/apt,3.5,1,1,800
Entire home/apt,5,0,1,890
Entire home/apt,5,2,1,1250
Private room,5,1,1,610
Private room,5,1,2.5,400
Entire home/apt,5,1,1,600
Private room,4.5,1,1,490
Private room,,1,1.5,1400
Entire home/apt,,2,1,1200
Entire home/apt,4,1,1,1200
Entire home/apt,4.5,2,1,1180
Entire home/apt,4,0,1,1680
Private room,5,1,1.5,500
Entire home/apt,5,1,1,850
Entire home/apt,5,1,1,1250
Entire home/apt,5,0,1,990
Private room,4.5,1,1.5,450
Entire home/apt,3,0,1,490
Entire home/apt,,2,1,1500
Entire home/apt,5,1,1,2490
Entire home/apt,5,0,1,640
Entire home/apt,5,1,1,630
Private room,,5,3,1800
Entire home/apt,5,1,1,990
Entire home/apt,4.5,1,1,560
Private room,4.5,1,2,550
Private room,4.5,1,1,590
Entire home/apt,,1,1,1200
Private room,5,1,1,750
Entire home/apt,5,1,1,850
Entire home/apt,5,2,2.5,1950
Entire home/apt,4.5,1,1,1210
Private room,5,1,2,490
Entire home/apt,5,1,1,890
Entire home/apt,5,0,1,650
Entire home/apt,5,0,1,650
Entire home/apt,4.5,2,1,650
Private room,5,1,2,390
Private room,4.5,0,1,490
Entire home/apt,4.5,1,1,1580
Entire home/apt,4.5,1,1,770
Entire home/apt,5,3,2,1980
Entire home/apt,5,2,1,520
Entire home/apt,5,2,1,1800
Entire home/apt,5,2,1.5,670
Entire home/apt,4.5,1,1,890
Entire home/apt,5,1,1,990
Entire home/apt,5,0,1,500
Entire home/apt,5,2,1.5,550
Private room,4.5,1,1,350
Private room,4.5,1,1,500
Private room,4.5,1,1,340
Entire home/apt,5,2,1,1150
Private room,4.5,1,1,590
Entire home/apt,5,1,1,850
Entire home/apt,4.5,4,3.5,5250
Entire home/apt,5,2,2,1850
Entire home/apt,5,3,2.5,1060
Entire home/apt,4.5,2,1,590
Entire home/apt,5,2,1,1200
Private room,5,1,1.5,350
Entire home/apt,5,0,1,600
Entire home/apt,5,4,2.5,4250
Entire home/apt,5,1,1,740
Entire home/apt,5,2,1,1850
Entire home/apt,5,1,1,800
Entire home/apt,5,1,1,850
Private room,5,1,1,1250
Entire home/apt,5,1,1,2500
Entire home/apt,4.5,2,1,1150
Entire home/apt,5,1,1,750
Entire home/apt,5,0,1,490
Private room,5,1,1,490
Shared room,4.5,1,8,400
Entire home/apt,4.5,1,1,710
Entire home/apt,5,4,2.5,4000
Entire home/apt,5,0,1,800
Entire home/apt,5,1,1,1300
Private room,4.5,1,1.5,370
Entire home/apt,5,1,1,850
Entire home/apt,4.5,1,1,1090
Private room,5,1,1,480
Entire home/apt,5,2,1.5,1100
Private room,4,1,1,650
Entire home/apt,5,0,1,1400
Entire home/apt,5,0,1,1000
Entire home/apt,5,1,1,1600
Entire home/apt,,3,2,2850
Private room,4,1,1,450
Private room,5,1,1,400
Entire home/apt,5,0,1,680
Entire home/apt,5,3,1,2500
Private room,5,1,1,800
Entire home/apt,5,1,1,1240
Entire home/apt,5,1,1,1320
Entire home/apt,5,2,1,1090
Entire home/apt,,0,1,1440
Entire home/apt,,2,2,2590
Entire home/apt,,2,2,2590
Entire home/apt,5,1,1,500
Entire home/apt,5,1,1,1300
Entire home/apt,5,2,1,1550
Entire home/apt,5,2,1,890
Private room,5,1,1,660
Entire home/apt,5,0,1,530
Private room,5,1,1,500
Entire home/apt,4.5,1,1,990
Entire home/apt,4.5,1,1,1000
Entire home/apt,4.5,1,1,550
Entire home/apt,5,1,1,840
Entire home/apt,4.5,2,2,1200
Private room,5,0,1,590
Entire home/apt,5,1,1.5,1550
Private room,5,1,1,600
Private room,4.5,1,1,490
Private room,4.5,1,1,490
Private room,4.5,1,1,350
Entire home/apt,4.5,3,2,3500
Entire home/apt,5,2,1,650
Entire home/apt,5,4,2,1850
Entire home/apt,5,3,3.5,3500
Private room,,1,1.5,750
Entire home/apt,5,1,1,750
Private room,5,1,1,400
Entire home/apt,5,2,2,1500
Entire home/apt,5,1,1,1500
Entire home/apt,5,2,2,900
Entire home/apt,5,2,1,1500
Entire home/apt,5,1,1,2600
Shared room,5,1,8,370
Entire home/apt,5,1,1,1250
Entire home/apt,4.5,1,1.5,900
Entire home/apt,5,2,2,1650
Entire home/apt,4.5,0,1,680
Private room,4.5,1,1,490
Private room,4.5,1,1,340
Entire home/apt,5,0,1,750
Entire home/apt,4.5,1,1,1680
Entire home/apt,4.5,0,1,750
Entire home/apt,4.5,1,1,750
Entire home/apt,5,1,1,650
Entire home/apt,4.5,2,1,650
Entire home/apt,5,4,1,1500
Entire home/apt,5,1,1,850
Entire home/apt,5,0,1,890
Entire home/apt,,4,4,8950
Entire home/apt,4.5,4,2,3190
Private room,5,1,1,780
Entire home/apt,4.5,1,1,720
Entire home/apt,4.5,1,1,600
Entire home/apt,5,0,1,540
Private room,5,0,1,590
Private room,5,2,1.5,900
Private room,5,1,1,800
Entire home/apt,4.5,0,1,390
Private room,4.5,1,1,550
Entire home/apt,5,1,1,1050
Entire home/apt,5,1,1,1470
Entire home/apt,5,0,1,1050
Entire home/apt,5,1,1,880
Entire home/apt,5,1,1,1490
Entire home/apt,5,1,1,1250
Entire home/apt,4.5,2,1,6000
Entire home/apt,4.5,2,1,1290
Entire home/apt,4.5,0,1,390
Entire home/apt,5,2,2.5,2500
Entire home/apt,5,0,1,1000
Entire home/apt,5,1,1,800
Entire home/apt,5,1,1,900
Entire home/apt,,4,2,5000
Entire home/apt,5,1,1,1490
Private room,4.5,1,1,250
Private room,4.5,1,1,320
Entire home/apt,5,1,1,750
Private room,5,1,1,700
Entire home/apt,5,1,1,710
Private room,4.5,1,1,650
Entire home/apt,5,1,1,1180
Private room,5,1,1,750
Entire home/apt,5,2,2,2310
Entire home/apt,5,0,1,850
Entire home/apt,3.5,2,2,1950
Entire home/apt,5,0,1,600
Entire home/apt,4.5,1,1,1050
Entire home/apt,4,2,1,990
Entire home/apt,5,1,1,900
Entire home/apt,5,1,2,1100
Entire home/apt,,3,1,1600
Private room,4.5,1,1,480
Entire home/apt,5,1,1,920
Entire home/apt,4.5,1,1,740
Entire home/apt,4.5,1,1,870
Entire home/apt,5,1,1,650
Entire home/apt,5,2,1,680
Entire home/apt,5,0,1,990
Entire home/apt,5,0,1,990
Entire home/apt,5,2,1,1800
Private room,5,1,2,200
Private room,,1,1,500
Entire home/apt,5,4,3,2500
Private room,4.5,1,1.5,300
Entire home/apt,5,0,1,1290
Entire home/apt,4.5,1,1,1200
Entire home/apt,4.5,1,1,620
Entire home/apt,5,1,1,580
Private room,4.5,1,1.5,450
Private room,5,1,1,9950
Entire home/apt,5,2,1,990
Entire home/apt,5,0,1,280
Private room,4.5,1,1,850
Entire home/apt,5,0,1,580
Entire home/apt,5,2,1,1650
Private room,5,1,1,1000
Entire home/apt,5,1,1,1190
Entire home/apt,,4,2,3950
Entire home/apt,5,1,1,700
Entire home/apt,5,0,1,980
Private room,5,2,1,610
Private room,5,1,1.5,3000
Private room,5,1,2,500
Entire home/apt,5,1,1,850
Private room,5,1,1,680
Private room,4.5,1,1,350
Entire home/apt,5,2,2,800
Entire home/apt,4.5,1,0,990
Entire home/apt,4.5,1,1,1190
Entire home/apt,4.5,1,1,1300
Private room,5,1,1,590
Private room,5,1,1,620
Entire home/apt,5,1,1,1500
Entire home/apt,5,0,1,600
Entire home/apt,4.5,1,1,1790
Private room,5,1,1,500
Entire home/apt,5,2,2,920
Entire home/apt,5,1,1,2160
Entire home/apt,5,1,1,530
Entire home/apt,5,1,1,750
Entire home/apt,5,1,1,790
Entire home/apt,4.5,2,1,3090
Entire home/apt,4.5,2,1,1600
Entire home/apt,3.5,2,1,1590
Entire home/apt,5,1,1,500
Entire home/apt,5,1,1,990
Private room,5,1,1,650
Private room,4.5,1,1,440
Entire home/apt,5,1,1,900
Private room,5,1,1,900
Entire home/apt,5,1,1,1400
Entire home/apt,5,1,1,1080
Entire home/apt,5,0,1,850
Entire home/apt,5,2,2,1750
Entire home/apt,5,0,1,1600
Private room,5,1,2,430
Entire home/apt,5,0,1,890
Entire home/apt,5,3,2.5,4250
Entire home/apt,5,2,2,1890
Entire home/apt,5,1,1,760
Entire home/apt,4.5,2,1,890
Entire home/apt,4.5,4,2.5,1990
Entire home/apt,5,5,2,1250
Entire home/apt,,0,1,1440
Entire home/apt,5,2,1,1250
Private room,5,1,1,850
Entire home/apt,5,1,1,1090
Private room,,1,1,5000
Entire home/apt,5,3,2,1500
Entire home/apt,5,1,1,850
Private room,4.5,1,1,400
Entire home/apt,5,1,1,570
Entire home/apt,5,2,1,590
Private room,5,1,1.5,550
Entire home/apt,4.5,1,1,380
Entire home/apt,5,2,1,990
Entire home/apt,5,1,1,490
Private room,5,1,1,710
Private room,5,1,1.5,450
Entire home/apt,5,2,1,2240
Entire home/apt,5,1,1,600
Entire home/apt,5,2,1,790
Entire home/apt,5,6,2,4500
Entire home/apt,5,1,1,1500
Entire home/apt,5,1,1,840
Shared room,5,1,1,690
Entire home/apt,5,1,1,1090
Private room,5,3,2,1280
Entire home/apt,5,1,1,3000
Entire home/apt,5,2,1,890
Entire home/apt,4.5,2,1,950
Entire home/apt,5,2,1,1300
Entire home/apt,5,3,3.5,1170
Entire home/apt,5,3,2.5,3250
Entire home/apt,,1,1,1790
Private room,4.5,1,1,550
Entire home/apt,4.5,0,1,600
Private room,5,1,1,400
Private room,5,1,1,500
Entire home/apt,4.5,1,1,850
Entire home/apt,5,0,1,900
Entire home/apt,5,2,1,1250
Entire home/apt,4.5,2,1,990
Private room,5,1,1,690
Entire home/apt,4.5,2,2,1580
Entire home/apt,4,1,1,4850
Entire home/apt,5,1,1,950
Private room,5,1,1,590
Private room,5,1,1,540
Private room,5,1,1,650
Private room,4.5,1,1,630
Entire home/apt,5,1,1,990
Private room,5,1,1,650
Private room,5,1,1.5,690
Entire home/apt,5,2,1,2000
Entire home/apt,4.5,1,1,820
Entire home/apt,5,1,1,950
Entire home/apt,5,3,1,1510
Private room,4.5,1,1,600
Private room,4.5,1,1,550
Entire home/apt,4.5,0,1,700
Entire home/apt,5,2,2,1600
Entire home/apt,5,2,1,1500
Entire home/apt,5,1,1,990
Private room,5,1,1,360
Entire home/apt,5,1,1,1250
Entire home/apt,5,3,2,800
Entire home/apt,,1,1,1170
Private room,5,1,1,280
Entire home/apt,5,3,3,1430
Entire home/apt,4.5,2,1,1250
Entire home/apt,4,2,2,2000
Private room,5,1,1,300
Entire home/apt,5,3,1,1950
Private room,,1,1,9990
Entire home/apt,5,1,1,850
Entire home/apt,5,1,1,990
Entire home/apt,4.5,1,1,800
Entire home/apt,,1,1,1790
Entire home/apt,4.5,1,1,800
Entire home/apt,4.5,0,1,700
Entire home/apt,3.5,0,1,700
Entire home/apt,4.5,0,1,700
Private room,4.5,1,1,530
Entire home/apt,5,0,1,990
Entire home/apt,5,1,1,930
Entire home/apt,4.5,1,1,990
Entire home/apt,4.5,1,1,800
Private room,5,1,1,400
Private room,5,1,1,570
Private room,4.5,1,1,200
Private room,4.5,1,1,250
Entire home/apt,5,1,1,990
Private room,5,1,1,690
Entire home/apt,,1,1,1090
Private room,5,1,1,250
Entire home/apt,4.5,0,1,1180
Private room,4.5,1,3,480
Entire home/apt,5,2,1.5,1750
Entire home/apt,4.5,3,1,1350
Entire home/apt,5,2,1,1250
Entire home/apt,,1,1,2750
Entire home/apt,4.5,2,1,920
Entire home/apt,4.5,1,1,990
Entire home/apt,5,1,1,750
Private room,5,2,1,1050
Entire home/apt,5,1,1,1250
Entire home/apt,5,2,2,1750
Entire home/apt,4.5,0,1,760
Entire home/apt,5,0,1,900
Entire home/apt,5,2,1,1100
Entire home/apt,,2,1.5,1400
Private room,,2,1,690
Entire home/apt,5,1,1,990
Entire home/apt,5,3,2,3250
Entire home/apt,5,3,1,2080
Entire home/apt,5,0,1,590
Entire home/apt,5,3,2.5,750
Entire home/apt,5,0,1,980
Entire home/apt,4.5,3,2.5,650
Entire home/apt,4.5,0,1,720
Entire home/apt,5,3,2.5,3500
Private room,5,1,1,790
Entire home/apt,5,2,1,590
Entire home/apt,5,2,1.5,1130
Entire home/apt,,1,1,1500
Entire home/apt,5,3,2,3250
Entire home/apt,5,0,1,800
Entire home/apt,,2,1.5,1200
Private room,4.5,1,2.5,450
Shared room,4.5,1,1,300
Entire home/apt,5,0,1,1180
Entire home/apt,5,2,1.5,2750
Entire home/apt,5,3,2,1800
Entire home/apt,5,1,1,880
Private room,5,1,1,510
Private room,5,1,1,1290
Private room,5,1,1,1000
Entire home/apt,5,3,2.5,5250
Entire home/apt,5,2,1,1190
Entire home/apt,5,1,1,990
Private room,5,1,1,800
Entire home/apt,5,3,1.5,2300
Entire home/apt,5,3,3,1490
Entire home/apt,4.5,1,1,750
Entire home/apt,5,0,1,700
Entire home/apt,5,0,1,750
Entire home/apt,5,4,2,3250
Private room,5,1,1,450
Entire home/apt,4.5,2,1,650
Entire home/apt,5,4,2.5,6040
Private room,5,1,4,500
Entire home/apt,5,1,1,700
Private room,4.5,1,1,490
Private room,5,1,1,750
Entire home/apt,5,1,1,680
Entire home/apt,,2,2,850
Entire home/apt,5,1,1,790
Entire home/apt,5,1,1,1000
Entire home/apt,5,1,1,1000
Entire home/apt,5,2,2,1100
Entire home/apt,4.5,0,1,690
Private room,5,1,1,520
Private room,5,1,1,900
Private room,5,1,1,350
Entire home/apt,5,1,1,1990
Private room,5,1,1.5,270
Entire home/apt,5,0,1,810
Entire home/apt,4.5,3,1,850
Entire home/apt,5,0,1,900
Entire home/apt,4.5,1,1,1180
Entire home/apt,5,1,1,960
Entire home/apt,4,3,2,1080
Entire home/apt,5,2,1,690
Entire home/apt,5,1,1,680
Entire home/apt,5,1,1,890
Entire home/apt,5,1,1,1180
Private room,5,1,1,500
Entire home/apt,5,1,1,800
Entire home/apt,4.5,1,1,890
Entire home/apt,5,1,1,1290
Entire home/apt,5,2,1,1500
Private room,4.5,1,1,1500
Entire home/apt,5,0,1,950
Entire home/apt,5,2,1,660
Entire home/apt,5,3,2,2500
Entire home/apt,5,2,1,1250
Entire home/apt,4.5,0,1,980
Entire home/apt,5,3,3.5,4300
Private room,4.5,1,1.5,650
Entire home/apt,5,0,1,1190
Private room,5,1,1,400
Entire home/apt,5,1,1,900
Entire home/apt,5,3,1,1170
Entire home/apt,5,2,1,1000
Entire home/apt,5,0,1,800
Private room,5,1,0.5,340
Entire home/apt,4.5,3,1,1610
Private room,4.5,1,2,270
Entire home/apt,5,0,1,510
Private room,5,1,1,850
Entire home/apt,5,3,1,1990
Private room,,5,3,300
Entire home/apt,5,2,1,1500
Entire home/apt,5,2,2,1030
Private room,4.5,1,1,470
Shared room,5,1,1,550
Private room,5,1,1,300
Private room,5,1,1,390
Private room,5,1,1,350
Entire home/apt,4.5,2,1,1000
Private room,5,1,1,750
Private room,5,1,1,900
Private room,5,1,1,550
Entire home/apt,4.5,2,1,950
Entire home/apt,5,2,2,1660
Entire home/apt,5,2,2,3000
Entire home/apt,5,1,1,750
Private room,4.5,1,1,750
Private room,5,1,1,480
Entire home/apt,5,3,2,1520
Entire home/apt,5,2,1,750
Entire home/apt,5,4,3,2750
Shared room,4.5,1,3.5,650
Private room,4.5,1,1.5,830
Private room,5,1,1,800
Private room,5,1,1,510
Entire home/apt,5,2,1,1500
Private room,5,1,1,500
Entire home/apt,5,3,2.5,5000
Private room,5,1,1,450
Entire home/apt,5,2,2,2500
Private room,5,1,1,1000
Entire home/apt,5,0,1,990
Entire home/apt,4.5,2,2,1680
Entire home/apt,5,3,2,2590
Entire home/apt,5,1,1,520
Entire home/apt,4.5,1,1,1000
Entire home/apt,5,1,1,890
Entire home/apt,5,3,2,1550
Entire home/apt,5,3,2,1900
Private room,5,1,1,650
Entire home/apt,5,2,1,1750
Entire home/apt,5,1,1,1300
Private room,5,1,1,690
Entire home/apt,5,1,1,490
Entire home/apt,5,2,1,1300
Shared room,,1,3.5,650
Shared room,,1,3.5,1300
Shared room,,1,3.5,1300
Shared room,5,1,3.5,650
Shared room,4,1,3.5,650
Private room,,1,3.5,960
Entire home/apt,5,1,1,1210
Entire home/apt,5,2,2,2590
Entire home/apt,5,4,2.5,2900
Entire home/apt,5,2,1,960
Private room,5,2,1,690
Entire home/apt,5,2,1,1350
Private room,,1,3.5,1300
Shared room,,1,3.5,650
Shared room,,1,3.5,650
Shared room,,1,3.5,600
Private room,4.5,1,2.5,980
Private room,,1,3.5,1950
Private room,,1,3.5,1400
Private room,5,1,3.5,1300
Private room,5,1,1,400
Entire home/apt,5,0,1.5,1500
Entire home/apt,5,2,1,790
Entire home/apt,5,2,1,880
Private room,4.5,1,1,440
Entire home/apt,5,1,1,830
Entire home/apt,5,0,1,320
Private room,5,1,1,550
Entire home/apt,4.5,0,1,890
Private room,5,1,1,850
Entire home/apt,5,0,1,860
Entire home/apt,5,2,2.5,1110
Private room,4.5,1,1,690
Entire home/apt,5,0,1,600
Entire home/apt,5,0,1,990
Entire home/apt,4.5,0,1,750
Entire home/apt,5,3,3,4350
Entire home/apt,5,2,1.5,650
Entire home/apt,4.5,1,1,750
Entire home/apt,5,4,4,3500
Shared room,,1,3.5,1800
Shared room,,1,3.5,1400
Shared room,,1,3.5,1300
Shared room,,1,3.5,1400
Entire home/apt,5,1,1,800
Entire home/apt,5,3,3,1950
Entire home/apt,,5,4,8500
Entire home/apt,4,2,1,1000
Private room,5,1,1,300
Private room,,1,1,540
Private room,,1,2,1300
Private room,5,1,1,370
Private room,5,1,1,410
Entire home/apt,5,1,1,550
Entire home/apt,5,2,1,750
Entire home/apt,5,1,1,1450
Private room,4.5,1,1.5,550
Entire home/apt,4.5,2,1,1890
Entire home/apt,5,1,1,690
Entire home/apt,5,2,2,990
Entire home/apt,5,1,1,950
Entire home/apt,4.5,1,1,400
Private room,4.5,1,1,480
Entire home/apt,5,2,1,1110
Entire home/apt,,0,1,670
Private room,4.5,1,1,790
Private room,4.5,1,1,620
Private room,,1,1,680
Entire home/apt,5,1,1,900
Entire home/apt,5,2,1,1990
Private room,5,1,1,480
Entire home/apt,5,1,1,950
Entire home/apt,5,2,2,1150
Entire home/apt,5,4,2,3900
Entire home/apt,5,1,1,450
Entire home/apt,5,0,1,800
Entire home/apt,5,1,1,900
Entire home/apt,5,1,1,1150
Entire home/apt,5,2,1,1750
Entire home/apt,5,0,1,600
Entire home/apt,5,0,1,590
Entire home/apt,5,3,2,2000
Entire home/apt,5,2,1,1550
Private room,4.5,1,1,490
Private room,4.5,1,1,490
Entire home/apt,5,3,1.5,1690
Entire home/apt,5,2,1,1150
Private room,5,1,2,440
Entire home/apt,5,1,1,990
Private room,4.5,1,2,250
Private room,5,1,1,650
Private room,5,1,1,470
Private room,5,1,2,450
Private room,5,1,1,550
Entire home/apt,5,1,1,830
Entire home/apt,5,1,1,750
Entire home/apt,4.5,1,1,1750
Private room,4.5,1,1,450
Private room,5,1,1,1000
Entire home/apt,,2,1,900
Entire home/apt,5,3,2,1490
Entire home/apt,5,4,1,1490
Entire home/apt,5,2,1,890
Entire home/apt,5,0,1,690
Entire home/apt,,4,3,3900
Entire home/apt,5,1,1,990
Private room,5,1,2,400
Entire home/apt,5,0,1,580
Entire home/apt,5,1,1,990
Private room,5,1,1,680
Private room,5,1,1,980
Private room,5,0,2,450
Entire home/apt,5,2,1,2000
Entire home/apt,5,0,1,790
Entire home/apt,5,0,1,800
Entire home/apt,4.5,1,1,1050
Entire home/apt,5,1,1,790
Entire home/apt,4.5,3,3,4950
Private room,5,1,1,850
Entire home/apt,5,3,2.5,980
Entire home/apt,5,1,1,750
Entire home/apt,4.5,1,1,920
Entire home/apt,,2,1,2600
Private room,5,1,1,450
Private room,5,1,1,700
Entire home/apt,5,4,3,6000
Entire home/apt,5,3,2.5,1350
Entire home/apt,5,1,1,700
Entire home/apt,4.5,1,1,1000
Entire home/apt,5,4,2,4000
Entire home/apt,5,2,1,2500
Entire home/apt,5,0,1,1050
Entire home/apt,5,3,2.5,1500
Entire home/apt,5,1,1,900
Entire home/apt,4.5,2,1,2000
Private room,5,1,1,600
Entire home/apt,5,2,2.5,2500
Entire home/apt,4.5,4,2.5,4290
Entire home/apt,5,1,1,2000
Private room,5,1,1,550
Entire home/apt,5,2,1,1700
