listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,5,2,1,1750
Entire home/apt,4.5,1,1,1550
Entire home/apt,5,0,1,900
Entire home/apt,5,2,1,1660
Entire home/apt,4.5,1,1,810
Entire home/apt,5,2,2,1050
Private room,5,1,1,820
Entire home/apt,5,4,2.5,2500
Entire home/apt,5,1,2.5,2000
Entire home/apt,5,0,1,660
Entire home/apt,5,2,3,2750
Entire home/apt,4.5,5,3.5,4000
Private room,5,1,1.5,680
Entire home/apt,5,1,1,1490
Entire home/apt,5,3,1,2500
Entire home/apt,5,1,1,600
Private room,5,1,1,880
Private room,5,1,1,500
Private room,5,1,1,420
Private room,5,1,1,500
Entire home/apt,5,3,1.5,2500
Entire home/apt,5,2,2,1440
Entire home/apt,4.5,2,1,690
Entire home/apt,4.5,2,1,1640
Entire home/apt,5,2,2,1500
Entire home/apt,5,1,1,820
Private room,5,1,1,400
Entire home/apt,,1,1.5,2000
Entire home/apt,5,1,1,1600
Private room,5,1,1.5,600
Private room,5,1,1.5,600
Entire home/apt,,4,4,6500
Entire home/apt,5,2,2.5,1720
Entire home/apt,5,2,2,1590
Entire home/apt,5,1,1,450
Entire home/apt,5,1,1,600
Private room,5,1,1.5,990
Entire home/apt,4.5,2,2,1200
Entire home/apt,5,2,2,1330
Entire home/apt,4.5,2,2,1000
Entire home/apt,4.5,2,2,1350
Entire home/apt,5,2,2,1100
Entire home/apt,4.5,2,2,1180
Entire home/apt,4.5,2,2,1000
Entire home/apt,4.5,1,1,1000
Entire home/apt,4.5,1,1,1100
Private room,4.5,1,1,980
Entire home/apt,5,1,1,990
Private room,5,1,1,420
Entire home/apt,5,1,1,950
Entire home/apt,5,2,1,1250
Entire home/apt,4.5,2,1,950
Entire home/apt,5,1,1,510
Entire home/apt,3.5,1,1,660
Entire home/apt,5,1,1,700
Entire home/apt,5,0,1,1000
Entire home/apt,4.5,2,1,1100
Entire home/apt,4.5,3,1,990
Private room,4.5,1,1,530
Private room,5,1,1,1450
Private room,4.5,1,1,550
Entire home/apt,5,1,1,750
Entire home/apt,5,1,1,890
Entire home/apt,5,1,1,1650
Entire home/apt,5,1,2,990
Private room,5,1,1,890
Entire home/apt,5,1,1,1100
Entire home/apt,4.5,2,2,1330
Private room,5,1,1,1090
Entire home/apt,5,1,1,950
Entire home/apt,5,1,1.5,920
Entire home/apt,5,2,1,850
Private room,5,1,1,480
Entire home/apt,4.5,3,1.5,640
Entire home/apt,5,1,1,1350
Entire home/apt,5,3,2.5,1960
Entire home/apt,5,1,1,950
Entire home/apt,4.5,3,2,2740
Entire home/apt,5,1,1,1190
Entire home/apt,4.5,1,1,1150
Entire home/apt,4.5,1,1,1000
Entire home/apt,5,1,1,1740
Private room,5,1,1,500
Entire home/apt,5,3,2,3750
Entire home/apt,4.5,3,1.5,1750
Private room,5,1,1,450
